ts_ns,symbol,event_type,description,polarity,duration_sec
1583712000000000000,SPY,covid_black_monday,2020-03-09 S&P -7.6% oil crash + COVID circuit breakers,positive,0
1584316800000000000,SPY,fed_emergency_cut,2020-03-16 S&P -12% Fed emergency rate cut,positive,0
1584921600000000000,SPY,fed_unlimited_qe,2020-03-23 Fed announces unlimited QE market bottom,positive,0
1645660800000000000,SPY,russia_invades_ukraine,2022-02-24 Russia invades Ukraine flight to safety,positive,0
1647388800000000000,SPY,fed_first_hike,2022-03-16 Fed first 25bp hike of cycle bond-equity decorrelation,positive,0
1663027200000000000,SPY,cpi_shock,2022-09-13 August CPI 8.3% hot print S&P -4.3%,positive,0
1664150400000000000,SPY,gbp_flash_crash,2022-09-26 UK LDI crisis GBP flash crash global rates spike,positive,0
1678406400000000000,SPY,svb_failure,2023-03-10 SVB closed by FDIC banking contagion starts,positive,0
1678665600000000000,SPY,signature_bank,2023-03-13 Signature Bank collapse Fed BTFP,positive,0
1557705600000000000,SPY,quiet_2019_may,2019-05-13 to 05-20 pre-trade-war-escalation calm,quiet,604800
1593993600000000000,SPY,quiet_2020_jul,2020-07-06 to 07-13 post-COVID recovery steady,quiet,604800
1618790400000000000,SPY,quiet_2021_apr,2021-04-19 to 04-26 Q1 earnings calm,quiet,604800
1658102400000000000,SPY,quiet_2022_jul,2022-07-18 to 07-25 pre-Jackson Hole mid-summer,quiet,604800
1673827200000000000,SPY,quiet_2023_jan,2023-01-16 to 01-23 pre-Feb post-holiday,quiet,604800
1517788800000000000,SPY,volmageddon,2018-02-05 S&P -4.1% Volmageddon XIV implosion,positive,0
1604880000000000000,SPY,pfizer_vaccine_news,2020-11-09 SPY +1.2% Pfizer vaccine effective,positive,0
1611705600000000000,SPY,gme_market_contagion,2021-01-27 SPY -2.6% GME-driven hedge unwind,positive,0
1643011200000000000,SPY,jan_selloff_2022,2022-01-24 SPY first major 2022 selloff,positive,0
1655078400000000000,SPY,jun_cpi_shock,2022-06-13 SPY -3.9% June CPI shock,positive,0
1665619200000000000,SPY,oct_cpi_relief_then,2022-10-13 SPY epic intraday reversal,positive,0
1680480000000000000,SPY,opec_surprise_cut,2023-04-03 OPEC surprise output cut,positive,0
1695254400000000000,SPY,fed_hawkish_hold,2023-09-21 SPY -1.6% Fed hawkish hold,positive,0
1702425600000000000,SPY,fed_pivot_signal,2023-12-13 SPY +1.4% Fed dot plot pivot,positive,0
1713139200000000000,SPY,iran_israel_tension,2024-04-15 SPY -1.2% Iran/Israel escalation,positive,0
1722816000000000000,SPY,yen_carry_unwind,2024-08-05 SPY -3% global rout JPY carry,positive,0
1568505600000000000,SPY,quiet_2019_sep,2019-09-15 to 09-22 stable Q3 trade-war detente,quiet,604800
1614556800000000000,SPY,quiet_2021_mar,2021-03-01 to 03-08 calm post-stimulus,quiet,604800
1681862400000000000,SPY,quiet_2023_apr,2023-04-19 to 04-26 calm post-SVB pre-debt-ceiling,quiet,604800
1703116800000000000,SPY,quiet_2023_dec,2023-12-21 to 12-28 holiday quiet,quiet,604800
